users; implementation; mean time; requests; iterations
100.0; akka; 623892096; 4670; 62500
100.0; naive; 969617020; 2942; 62500
100.0; mono; 245598626; 1795; 62500
100.0; executor; 553585250; 5291; 62500
100.0; pool; 564106000; 5185; 62500
100.0; akka; 873524736; 3366; 93750
100.0; naive; 1134022296; 2529; 93750
100.0; mono; 339372493; 4602; 93750
100.0; executor; 673608378; 4375; 93750
100.0; pool; 657849764; 4478; 93750
100.0; akka; 1003078747; 2949; 125000
100.0; naive; 1089226261; 200; 125000
100.0; mono; 524180584; 4579; 125000
100.0; executor; 901140387; 3290; 125000
100.0; pool; 950710370; 3111; 125000
100.0; akka; 1411075175; 100; 187500
100.0; naive; 1394936811; 1368; 187500
100.0; mono; 806531070; 3238; 187500
100.0; executor; 1349779260; 2216; 187500
100.0; pool; 1185878357; 612; 187500
100.0; akka; 1895927746; 1592; 250000
100.0; naive; 1819504791; 881; 250000
100.0; mono; 1173185302; 2318; 250000
100.0; executor; 1812077236; 1664; 250000
100.0; pool; 1919141041; 1568; 250000
100.0; akka; 2456356300; 1241; 325000
100.0; naive; 2453708567; 1163; 325000
100.0; mono; 1333153014; 741; 325000
100.0; executor; 2302396976; 1323; 325000
100.0; pool; 2211146642; 950; 325000
100.0; akka; 3664855610; 848; 500000
100.0; naive; 3630193152; 813; 500000
100.0; mono; 2029551725; 414; 500000
100.0; executor; 3300443079; 939; 500000
100.0; pool; 3324316795; 933; 500000
100.0; akka; 4160177549; 347; 750000
100.0; naive; 5149807078; 553; 750000
100.0; mono; 3542453175; 815; 750000
100.0; executor; 3110574772; 122; 750000
100.0; pool; 5722518852; 562; 750000
100.0; akka; 6970288677; 473; 1000000
100.0; naive; 6749552704; 444; 1000000
100.0; mono; 5657319694; 509; 1000000
100.0; executor; 7061696832; 465; 1000000
100.0; pool; 6729531719; 492; 1000000
100.0; akka; 10005145180; 345; 1500000
100.0; naive; 10630309798; 280; 1500000
100.0; mono; 8616524807; 390; 1500000
100.0; executor; 6406211904; 155; 1500000
100.0; pool; 9325592224; 371; 1500000
100.0; akka; 12876841976; 285; 2000000
100.0; naive; 11715416340; 249; 2000000
100.0; mono; 10472598374; 300; 2000000
100.0; executor; 6274763462; 100; 2000000
100.0; pool; 6333098653; 100; 2000000
100.0; akka; 15698767469; 250; 3000000
100.0; naive; 15749173512; 187; 3000000
100.0; mono; 15743724845; 200; 3000000
100.0; executor; 9832725322; 82; 3000000
100.0; pool; 17851383032; 224; 3000000
100.0; akka; 22269386127; 197; 4000000
100.0; naive; 22208011559; 100; 4000000
100.0; mono; 20386555146; 200; 4000000
100.0; executor; 23501456367; 188; 4000000
100.0; pool; 23461813445; 188; 4000000
